StateAbbr,PlaceName,PlaceFIPS,TractFIPS,Place_TractID,population_count,ACCESS2_CrudePrev,ACCESS2_Crude95CI,ARTHRITIS_CrudePrev,ARTHRITIS_Crude95CI,BINGE_CrudePrev,BINGE_Crude95CI,BPHIGH_CrudePrev,BPHIGH_Crude95CI,BPMED_CrudePrev,BPMED_Crude95CI,CANCER_CrudePrev,CANCER_Crude95CI,CASTHMA_CrudePrev,CASTHMA_Crude95CI,CHD_CrudePrev,CHD_Crude95CI,CHECKUP_CrudePrev,CHECKUP_Crude95CI,CHOLSCREEN_CrudePrev,CHOLSCREEN_Crude95CI,COLON_SCREEN_CrudePrev,COLON_SCREEN_Crude95CI,COPD_CrudePrev,COPD_Crude95CI,COREM_CrudePrev,COREM_Crude95CI,COREW_CrudePrev,COREW_Crude95CI,CSMOKING_CrudePrev,CSMOKING_Crude95CI,DENTAL_CrudePrev,DENTAL_Crude95CI,DIABETES_CrudePrev,DIABETES_Crude95CI,HIGHCHOL_CrudePrev,HIGHCHOL_Crude95CI,KIDNEY_CrudePrev,KIDNEY_Crude95CI,LPA_CrudePrev,LPA_Crude95CI,MAMMOUSE_CrudePrev,MAMMOUSE_Crude95CI,MHLTH_CrudePrev,MHLTH_Crude95CI,OBESITY_CrudePrev,OBESITY_Crude95CI,PAPTEST_CrudePrev,PAPTEST_Crude95CI,PHLTH_CrudePrev,PHLTH_Crude95CI,SLEEP_CrudePrev,SLEEP_Crude95CI,STROKE_CrudePrev,STROKE_Crude95CI,TEETHLOST_CrudePrev,TEETHLOST_Crude95CI,Geolocation
CA,Santa Monica,670000,6037701201,0670000-06037701201,4433,3.6,"( 3.0,  4.6)",21.6,"(20.4, 23.0)",16.9,"(16.4, 17.3)",28.3,"(27.1, 29.8)",75,"(73.9, 76.1)",9.1,"( 8.7,  9.5)",7.2,"( 6.9,  7.6)",5,"( 4.5,  5.6)",71.4,"(70.7, 72.1)",89.3,"(88.3, 90.1)",72.8,"(70.1, 74.8)",3.8,"( 3.2,  4.7)",31.6,"(27.6, 35.6)",35,"(30.7, 38.9)",7.3,"( 5.8,  9.1)",82.6,"(79.7, 84.6)",7.6,"( 6.9,  8.3)",35.3,"(34.3, 36.4)",2.5,"( 2.4,  2.6)",12.4,"(11.0, 14.0)",82.8,"(80.3, 84.7)",7.6,"( 6.7,  8.6)",17.8,"(16.8, 19.0)",88,"(86.0, 89.4)",8,"( 7.1,  9.2)",28.1,"(26.8, 29.7)",2.3,"( 2.0,  2.6)",3.6,"( 2.4,  5.7)","(34.04120368150, -118.494348733)"
CA,Santa Monica,670000,6037701202,0670000-06037701202,3268,4.2,"( 3.5,  5.0)",16.4,"(15.6, 17.3)",20,"(19.5, 20.5)",21.6,"(20.8, 22.6)",68.3,"(67.2, 69.5)",6.7,"( 6.4,  7.0)",7.4,"( 7.1,  7.7)",3.3,"( 3.0,  3.7)",67,"(66.3, 67.6)",85.5,"(84.3, 86.4)",71.5,"(68.5, 73.5)",3,"( 2.5,  3.5)",31.4,"(27.3, 35.2)",34.2,"(30.3, 37.7)",7.9,"( 6.4,  9.7)",80.8,"(78.0, 83.0)",5.6,"( 5.2,  6.1)",29.2,"(28.5, 30.0)",2,"( 1.9,  2.1)",11.7,"(10.5, 13.0)",82.4,"(79.9, 84.3)",8.1,"( 7.3,  9.1)",17.7,"(16.8, 18.8)",88.5,"(86.9, 89.7)",6.9,"( 6.2,  7.7)",30,"(28.7, 31.6)",1.7,"( 1.5,  1.9)",3.9,"( 2.5,  6.5)","(34.03392431400, -118.489813163)"
CA,Santa Monica,670000,6037701302,0670000-06037701302,4684,4.8,"( 3.9,  6.4)",15.3,"(14.5, 16.3)",21.8,"(21.2, 22.3)",20.5,"(19.6, 21.4)",66.5,"(65.1, 67.8)",6.2,"( 6.0,  6.5)",7.5,"( 7.1,  7.9)",3.3,"( 2.9,  3.6)",65,"(64.2, 65.8)",83,"(81.0, 84.3)",69.9,"(66.8, 72.1)",3,"( 2.5,  3.6)",30.9,"(26.4, 34.8)",33.3,"(28.8, 36.7)",8.8,"( 6.9, 11.1)",78.5,"(75.2, 81.1)",5.3,"( 4.8,  5.7)",27.6,"(26.9, 28.5)",1.9,"( 1.9,  2.0)",11.9,"(10.6, 13.6)",81.6,"(78.6, 83.8)",8.6,"( 7.6,  9.8)",18,"(16.9, 19.1)",88,"(86.3, 89.4)",6.9,"( 6.1,  7.9)",30.7,"(29.1, 32.4)",1.6,"( 1.4,  1.8)",4.3,"( 2.8,  7.3)","(34.02740858640, -118.497840174)"
CA,Santa Monica,670000,6037701304,0670000-06037701304,6374,4.7,"( 3.9,  5.8)",21.6,"(20.4, 22.8)",17.3,"(16.9, 17.7)",28,"(26.9, 29.3)",74.2,"(73.2, 75.2)",8.7,"( 8.4,  9.1)",7.5,"( 7.2,  7.9)",5.2,"( 4.6,  5.8)",69.8,"(69.1, 70.4)",86.9,"(85.8, 87.8)",71.5,"(68.5, 73.6)",4.3,"( 3.5,  5.1)",31.3,"(27.0, 35.4)",33.4,"(29.2, 37.3)",8.7,"( 7.0, 10.6)",80.3,"(77.3, 82.5)",7.7,"( 7.0,  8.4)",34.3,"(33.5, 35.3)",2.6,"( 2.5,  2.7)",13.8,"(12.2, 15.5)",81.9,"(79.0, 83.9)",8.5,"( 7.5,  9.5)",18.7,"(17.8, 19.8)",87.7,"(85.9, 89.0)",8.8,"( 7.7, 10.0)",29.2,"(27.9, 30.7)",2.5,"( 2.2,  2.9)",4.4,"( 2.8,  7.6)","(34.03018679890, -118.506185113)"
CA,Santa Monica,670000,6037701402,0670000-06037701402,6696,6.1,"( 4.8,  7.7)",19.5,"(18.4, 20.7)",18.8,"(18.3, 19.3)",25.8,"(24.7, 27.0)",72.2,"(70.9, 73.4)",7.9,"( 7.5,  8.3)",7.6,"( 7.2,  8.0)",4.9,"( 4.4,  5.6)",67.1,"(66.4, 67.9)",82.9,"(81.2, 84.3)",68.7,"(65.2, 71.2)",4.1,"( 3.4,  5.0)",30.2,"(25.3, 34.5)",30.4,"(26.1, 34.4)",9.6,"( 7.6, 11.8)",76,"(72.4, 78.8)",7,"( 6.5,  7.7)",31.5,"(30.6, 32.5)",2.6,"( 2.4,  2.7)",14.3,"(12.6, 16.2)",80.1,"(76.7, 82.4)",9,"( 7.9, 10.2)",18.8,"(17.7, 19.9)",86.3,"(84.3, 88.0)",8.6,"( 7.6,  9.9)",30.3,"(28.9, 32.1)",2.4,"( 2.1,  2.9)",5.5,"( 3.4, 10.2)","(34.02049790490, -118.502506898)"
CA,Santa Monica,670000,6037701501,0670000-06037701501,4986,5.1,"( 4.0,  6.4)",16.2,"(15.4, 17.3)",20.9,"(20.4, 21.4)",21.8,"(20.9, 22.9)",68.3,"(67.0, 69.6)",6.6,"( 6.4,  6.9)",7.5,"( 7.1,  7.9)",3.6,"( 3.2,  4.0)",66,"(65.2, 66.7)",83.3,"(81.4, 84.5)",69.6,"(66.7, 72.1)",3.2,"( 2.7,  3.9)",31.4,"(27.2, 35.5)",32.8,"(28.7, 36.7)",9,"( 7.0, 11.3)",78,"(74.7, 80.7)",5.7,"( 5.3,  6.2)",28.8,"(28.0, 29.7)",2,"( 2.0,  2.1)",12.5,"(11.1, 14.2)",81.1,"(78.4, 83.2)",8.6,"( 7.6,  9.8)",18,"(17.0, 19.2)",87.5,"(85.7, 88.9)",7.2,"( 6.4,  8.2)",30.8,"(29.2, 32.4)",1.8,"( 1.6,  2.0)",4.8,"( 3.0,  8.1)","(34.02815672850, -118.490421164)"
CA,Santa Monica,670000,6037701502,0670000-06037701502,3841,7.1,"( 6.0,  8.5)",19.2,"(18.3, 20.2)",19,"(18.7, 19.4)",25.5,"(24.6, 26.5)",72,"(71.0, 73.0)",7.7,"( 7.3,  8.0)",7.7,"( 7.4,  8.1)",5,"( 4.4,  5.6)",66.6,"(66.0, 67.2)",80.8,"(79.3, 82.2)",66.3,"(63.8, 68.5)",4.3,"( 3.6,  5.0)",28.8,"(24.7, 32.6)",28.1,"(23.8, 31.7)",10.5,"( 8.9, 12.3)",73.3,"(70.3, 75.8)",7.2,"( 6.7,  7.8)",30.9,"(30.1, 31.7)",2.5,"( 2.4,  2.6)",15.3,"(13.9, 16.9)",79.5,"(77.2, 81.5)",9.6,"( 8.7, 10.6)",18.5,"(17.8, 19.3)",84.7,"(82.9, 86.2)",9,"( 8.1, 10.1)",31.7,"(30.5, 33.0)",2.6,"( 2.3,  3.1)",7,"( 4.4, 11.9)","(34.02545973220, -118.487234648)"
CA,Santa Monica,670000,6037701601,0670000-06037701601,4165,4,"( 3.3,  4.9)",18.5,"(17.5, 19.6)",18.9,"(18.5, 19.3)",24.6,"(23.7, 25.8)",71.9,"(70.8, 72.9)",7.8,"( 7.5,  8.1)",7.2,"( 6.9,  7.5)",4.1,"( 3.7,  4.5)",69.1,"(68.5, 69.7)",87,"(85.9, 87.8)",72,"(68.7, 74.1)",3.3,"( 2.8,  4.0)",31,"(26.4, 35.0)",34.3,"(30.0, 38.1)",7.5,"( 6.1,  9.3)",80.8,"(77.8, 83.2)",6.5,"( 6.0,  7.0)",32,"(31.2, 32.9)",2.2,"( 2.1,  2.3)",11.9,"(10.7, 13.4)",82.4,"(79.5, 84.5)",7.7,"( 6.9,  8.7)",17.3,"(16.4, 18.3)",87.8,"(86.0, 89.2)",7.2,"( 6.5,  8.2)",29.5,"(28.2, 31.1)",1.9,"( 1.7,  2.2)",4.1,"( 2.5,  6.9)","(34.03932071590, -118.479593089)"
CA,Santa Monica,670000,6037701602,0670000-06037701602,4037,6.2,"( 5.0,  7.8)",16,"(15.2, 16.9)",20.4,"(19.9, 20.9)",21.9,"(20.9, 22.9)",67.9,"(66.7, 69.2)",6.3,"( 6.1,  6.6)",7.5,"( 7.2,  8.0)",3.7,"( 3.3,  4.1)",65.4,"(64.6, 66.1)",81,"(79.0, 82.5)",67.8,"(64.5, 70.1)",3.3,"( 2.8,  4.0)",29.9,"(25.6, 33.9)",29.9,"(25.2, 33.7)",9.5,"( 7.5, 11.9)",76.6,"(73.1, 79.4)",6,"( 5.6,  6.5)",28.5,"(27.7, 29.4)",2.1,"( 2.0,  2.2)",13.5,"(12.1, 15.1)",81.5,"(78.5, 83.5)",9,"( 8.0, 10.3)",18.2,"(17.3, 19.3)",86.5,"(84.4, 88.0)",7.7,"( 6.8,  8.7)",31.2,"(29.8, 32.8)",1.9,"( 1.7,  2.2)",5.3,"( 3.2,  9.8)","(34.03500948480, -118.475427091)"
CA,Santa Monica,670000,6037701701,0670000-06037701701,3196,7.3,"( 6.1,  8.7)",16.9,"(16.1, 17.8)",19.8,"(19.3, 20.2)",23.3,"(22.3, 24.3)",68.3,"(67.2, 69.4)",6.2,"( 6.0,  6.4)",7.7,"( 7.3,  8.1)",3.9,"( 3.5,  4.3)",65.2,"(64.4, 65.9)",80.3,"(78.5, 81.8)",65.1,"(61.4, 68.0)",3.8,"( 3.3,  4.5)",28.9,"(24.3, 33.1)",29.3,"(25.2, 33.1)",11,"( 9.0, 13.1)",72,"(68.3, 75.0)",6.9,"( 6.4,  7.4)",30.1,"(29.3, 31.0)",2.2,"( 2.1,  2.3)",15.2,"(13.7, 16.7)",79.6,"(76.2, 82.1)",9.8,"( 8.8, 10.9)",19.6,"(18.6, 20.7)",84.1,"(82.0, 86.0)",8.7,"( 7.8,  9.6)",33.3,"(31.7, 34.7)",2,"( 1.8,  2.3)",6.8,"( 4.1, 10.1)","(34.03233707510, -118.472252910)"
CA,Santa Monica,670000,6037701702,0670000-06037701702,3106,8.7,"( 7.5,  9.9)",16.2,"(15.6, 16.8)",20.7,"(20.3, 21.1)",23.2,"(22.5, 23.9)",66.4,"(65.5, 67.4)",5.5,"( 5.4,  5.7)",8,"( 7.7,  8.3)",3.9,"( 3.6,  4.2)",64.1,"(63.5, 64.6)",77.9,"(76.5, 79.2)",64.4,"(62.0, 66.5)",4,"( 3.5,  4.4)",26.6,"(23.8, 29.3)",27.4,"(24.1, 30.4)",12.5,"(10.8, 14.3)",70.6,"(68.0, 73.1)",7.1,"( 6.8,  7.5)",29.2,"(28.6, 29.9)",2.2,"( 2.1,  2.2)",16,"(14.9, 17.3)",80.3,"(78.4, 82.1)",10.8,"( 9.9, 11.7)",21.1,"(20.3, 21.8)",84.5,"(82.9, 85.9)",9.2,"( 8.5,  9.9)",34.3,"(33.2, 35.3)",2.1,"( 1.9,  2.3)",7.2,"( 5.0, 10.7)","(34.02276877680, -118.484096193)"
CA,Santa Monica,670000,6037701801,0670000-06037701801,5867,12.8,"(11.0, 14.8)",16.4,"(15.7, 17.0)",18.2,"(17.8, 18.6)",24.7,"(23.9, 25.4)",67.7,"(66.9, 68.6)",5,"( 4.8,  5.1)",8.2,"( 7.8,  8.6)",4.3,"( 4.0,  4.6)",64,"(63.4, 64.6)",73.4,"(71.6, 75.0)",57.7,"(54.8, 60.5)",4.3,"( 3.8,  4.8)",23.8,"(20.8, 26.7)",23.5,"(21.1, 26.0)",13.2,"(11.7, 14.9)",63.2,"(60.0, 66.3)",8.9,"( 8.4,  9.4)",30.7,"(29.9, 31.5)",2.5,"( 2.4,  2.5)",19.1,"(17.8, 20.6)",77.9,"(75.4, 80.0)",11.8,"(10.9, 12.8)",22.4,"(21.5, 23.2)",80.3,"(78.3, 82.1)",10.8,"( 9.9, 11.7)",36.3,"(35.1, 37.5)",2.4,"( 2.2,  2.6)",9.8,"( 7.2, 12.8)","(34.02745386160, -118.465723661)"
CA,Santa Monica,670000,6037701802,0670000-06037701802,4463,12.4,"(10.5, 14.5)",17,"(16.3, 17.7)",18.9,"(18.5, 19.4)",25.9,"(25.0, 26.8)",67.1,"(66.1, 68.0)",4.9,"( 4.7,  5.0)",8.5,"( 8.2,  9.0)",4.4,"( 4.1,  4.7)",63.5,"(62.8, 64.3)",74.4,"(72.5, 76.2)",58.8,"(55.9, 61.4)",4.7,"( 4.2,  5.3)",23.5,"(20.6, 26.5)",23.4,"(20.8, 26.0)",14.7,"(12.6, 16.7)",63.7,"(60.4, 66.9)",9.3,"( 8.8,  9.8)",30.9,"(30.1, 31.9)",2.6,"( 2.5,  2.6)",19.3,"(17.9, 20.9)",79.1,"(76.7, 81.2)",12.5,"(11.3, 13.7)",24.8,"(23.8, 25.8)",81.9,"(79.9, 83.7)",11.5,"(10.5, 12.5)",36.8,"(35.4, 38.0)",2.6,"( 2.4,  2.8)",9.3,"( 6.8, 12.1)","(34.01889068830, -118.478970773)"
CA,Santa Monica,670000,6037701902,0670000-06037701902,4016,7.5,"( 6.2,  9.3)",16.8,"(16.0, 17.6)",20.1,"(19.6, 20.6)",24.2,"(23.4, 25.2)",68.7,"(67.6, 69.8)",6.2,"( 6.0,  6.5)",7.6,"( 7.3,  8.0)",4.5,"( 4.1,  4.9)",64.3,"(63.5, 65.0)",78.3,"(76.4, 79.8)",64.5,"(61.3, 67.2)",4,"( 3.4,  4.6)",27.8,"(23.9, 31.6)",27.9,"(23.7, 31.7)",11.2,"( 9.1, 13.5)",68.9,"(65.1, 72.4)",7.1,"( 6.6,  7.6)",29.8,"(29.0, 30.7)",2.5,"( 2.4,  2.6)",15,"(13.4, 16.7)",77.2,"(73.8, 79.8)",9.8,"( 8.7, 10.9)",20.3,"(19.3, 21.4)",82.7,"(80.2, 84.9)",8.7,"( 7.8,  9.7)",33.7,"(32.1, 35.2)",2.3,"( 2.1,  2.6)",7.5,"( 4.7, 11.7)","(34.01369822120, -118.493740729)"
CA,Santa Monica,670000,6037702002,0670000-06037702002,5700,6.4,"( 5.3,  7.9)",16.9,"(15.9, 17.9)",20.7,"(20.1, 21.3)",22.9,"(22.0, 23.9)",66.8,"(65.5, 68.1)",6.1,"( 5.9,  6.4)",7.8,"( 7.5,  8.2)",3.9,"( 3.5,  4.4)",64.4,"(63.6, 65.1)",81.2,"(79.2, 82.6)",66.4,"(63.2, 68.8)",3.8,"( 3.2,  4.6)",29,"(24.7, 33.0)",29.5,"(25.3, 33.4)",11.1,"( 8.8, 13.6)",74.3,"(70.4, 77.4)",6.5,"( 6.0,  7.1)",29.3,"(28.5, 30.2)",2.2,"( 2.1,  2.3)",14.3,"(12.8, 16.1)",80.7,"(77.7, 82.8)",10,"( 8.9, 11.3)",20.7,"(19.6, 22.0)",86.3,"(84.2, 87.9)",8.7,"( 7.7,  9.8)",32.5,"(30.8, 34.3)",2,"( 1.8,  2.3)",5.7,"( 3.5,  9.9)","(34.00628115400, -118.484846231)"
CA,Santa Monica,670000,6037702102,0670000-06037702102,6306,4.8,"( 3.9,  6.1)",16.3,"(15.4, 17.3)",21.1,"(20.6, 21.7)",22.1,"(21.2, 23.2)",68.3,"(67.0, 69.5)",6.6,"( 6.4,  6.9)",7.4,"( 7.0,  7.8)",3.6,"( 3.3,  4.0)",66.1,"(65.2, 66.9)",84.2,"(82.4, 85.4)",70.6,"(67.1, 72.8)",3.1,"( 2.6,  3.8)",30.3,"(26.1, 34.4)",33.1,"(28.6, 36.5)",8.5,"( 6.7, 11.0)",79,"(75.7, 81.7)",5.9,"( 5.4,  6.4)",29.2,"(28.4, 30.2)",2.1,"( 2.0,  2.2)",12,"(10.7, 13.7)",82.3,"(79.3, 84.3)",8.3,"( 7.4,  9.6)",18.4,"(17.4, 19.4)",88.3,"(86.4, 89.7)",7.2,"( 6.4,  8.2)",30.3,"(28.9, 31.8)",1.8,"( 1.6,  2.0)",4.4,"( 2.7,  7.4)","(34.00127006290, -118.479175114)"
CA,Santa Monica,670000,6037702201,0670000-06037702201,4483,6.7,"( 5.6,  8.0)",17.3,"(16.4, 18.2)",19.5,"(19.1, 20.0)",23.8,"(22.8, 24.8)",68.4,"(67.3, 69.5)",6.1,"( 5.9,  6.4)",7.7,"( 7.4,  8.1)",4,"( 3.7,  4.4)",65.4,"(64.7, 66.1)",80.8,"(79.2, 82.1)",66.9,"(64.3, 69.2)",3.9,"( 3.4,  4.5)",28.3,"(24.6, 32.1)",30,"(26.5, 33.4)",11,"( 9.2, 13.0)",74.5,"(71.7, 77.0)",7.1,"( 6.6,  7.6)",30.6,"(29.8, 31.4)",2.3,"( 2.2,  2.3)",15,"(13.5, 16.5)",80.7,"(78.4, 83.0)",9.9,"( 8.9, 11.0)",20.3,"(19.3, 21.4)",85.3,"(83.4, 86.8)",8.8,"( 7.9,  9.7)",32.7,"(31.3, 34.3)",2.1,"( 1.9,  2.3)",5.4,"( 3.7,  7.7)","(34.01335208120, -118.472985236)"
CA,Santa Monica,670000,6037702202,0670000-06037702202,3751,5.6,"( 4.6,  6.9)",18.8,"(17.7, 19.9)",19.3,"(18.8, 19.8)",25.4,"(24.4, 26.6)",71.2,"(70.1, 72.3)",7.3,"( 7.0,  7.5)",7.5,"( 7.1,  7.9)",4.4,"( 3.9,  4.8)",67.9,"(67.1, 68.5)",84.7,"(83.4, 85.8)",68.9,"(66.1, 71.2)",3.8,"( 3.1,  4.6)",29.4,"(25.4, 32.9)",31.3,"(27.5, 34.8)",9.4,"( 7.5, 11.5)",77.3,"(74.2, 79.8)",7.3,"( 6.8,  7.9)",32.2,"(31.3, 33.1)",2.3,"( 2.2,  2.4)",13.9,"(12.5, 15.5)",81.5,"(78.8, 83.6)",8.9,"( 7.9, 10.0)",19.3,"(18.3, 20.5)",86.9,"(84.8, 88.5)",8.4,"( 7.5,  9.5)",31.2,"(29.8, 32.7)",2.1,"( 1.9,  2.4)",4.9,"( 3.2,  7.4)","(34.00815968470, -118.467221656)"
CA,Santa Monica,670000,6037702300,0670000-06037702300,6364,6.3,"( 5.1,  7.6)",19.2,"(18.1, 20.3)",18.1,"(17.7, 18.5)",26.1,"(25.0, 27.2)",71.6,"(70.6, 72.6)",7.1,"( 6.8,  7.4)",7.6,"( 7.3,  8.0)",4.5,"( 4.1,  5.0)",67.7,"(66.9, 68.4)",83.8,"(82.3, 84.9)",67.4,"(64.1, 69.8)",4.1,"( 3.4,  4.9)",28.7,"(24.7, 32.3)",30,"(26.3, 33.2)",9.8,"( 8.0, 11.9)",76.1,"(72.9, 78.7)",7.9,"( 7.3,  8.5)",32.8,"(32.0, 33.8)",2.4,"( 2.4,  2.5)",14.8,"(13.3, 16.5)",81.1,"(78.2, 83.3)",9.3,"( 8.2, 10.4)",19.6,"(18.6, 20.7)",85.4,"(83.3, 87.1)",9,"( 8.0, 10.2)",31.6,"(30.2, 33.1)",2.3,"( 2.0,  2.6)",5.3,"( 3.5,  8.4)","(34.01831271820, -118.455953489)"
